User_ID,Session_Date,Page_Views,Clicks
U0499,2023-09-06,1,1
U0500,2023-11-02,3,3
U0501,2023-10-23,2,1
U0502,2024-01-29,4,2
U0503,2023-11-24,13,3
U0504,2024-01-31,1,1
U0505,2023-10-08,3,3
U0506,2023-11-04,13,3
U0507,2023-09-29,11,1
U0508,2023-10-04,1,1
U0509,2023-10-31,10,6
U0510,2023-09-05,3,2
U0511,2023-09-14,3,3
U0512,2023-12-17,9,2
U0513,2023-09-17,8,8
U0514,2023-12-02,9,2
U0515,2023-12-25,9,4
U0516,2024-02-05,1,1
U0517,2023-12-27,11,1
U0518,2023-09-16,8,7
U0519,2023-12-19,11,2
U0520,2024-01-04,12,8
U0521,2023-09-19,15,2
U0522,2023-11-22,10,3
U0523,2023-09-17,3,2
U0524,2024-02-07,11,10
U0525,2024-01-19,12,6
U0526,2023-12-07,10,9
U0527,2023-11-15,8,7
U0528,2023-09-26,13,12
U0529,2023-09-30,14,11
U0530,2024-02-14,15,13
U0531,2024-01-20,12,4
U0532,2023-12-20,8,4
U0533,2023-12-15,6,4
U0534,2023-12-12,7,6
U0535,2023-09-25,6,4
U0536,2023-11-20,11,5
U0537,2023-12-05,3,3
U0538,2023-12-31,2,1
U0539,2023-09-22,2,2
U0540,2023-09-25,12,12
U0541,2023-12-05,13,3
U0542,2024-01-21,1,1
U0543,2024-02-19,2,2
U0544,2023-11-30,14,11
U0545,2023-12-18,14,12
U0546,2023-09-14,5,5
U0547,2023-11-19,6,1
U0548,2024-01-26,9,4
U0549,2023-10-10,11,8
U0550,2023-10-28,14,2
U0551,2023-11-29,14,9
U0552,2023-12-04,2,2
U0553,2024-01-25,4,4
U0554,2024-01-22,13,10
U0555,2024-02-05,11,11
U0556,2024-01-21,1,1
U0557,2023-09-08,3,2
U0558,2024-02-27,13,5
U0559,2023-11-26,6,1
U0560,2023-10-17,14,3
U0561,2024-01-23,11,7
U0562,2023-09-18,3,3
U0563,2024-02-10,1,1
U0564,2024-01-14,4,4
U0565,2023-12-17,8,6
U0566,2023-10-11,6,3
U0567,2023-11-23,13,10
U0568,2024-01-31,2,1
U0569,2023-10-10,3,3
U0570,2023-09-13,11,2
U0571,2023-11-09,8,7
U0572,2024-01-03,10,8
U0573,2023-12-16,5,2
U0574,2024-01-10,2,2
U0575,2023-12-20,2,2
U0576,2024-02-21,11,10
U0577,2024-01-03,9,5
U0578,2023-09-12,4,4
U0579,2024-02-01,1,1
U0580,2023-10-23,5,2
U0581,2023-10-06,13,5
U0582,2023-11-14,6,1
U0583,2023-09-02,8,7
U0584,2023-10-15,3,2
U0585,2024-01-15,12,4
U0586,2024-01-07,9,6
U0587,2023-09-19,7,7
U0588,2023-09-11,7,1
U0589,2023-12-27,15,2
U0590,2023-11-20,10,7
U0591,2024-01-25,7,6
U0592,2024-02-11,7,3
U0593,2023-09-30,7,1
U0594,2023-11-23,3,3
U0595,2023-12-27,14,12
U0596,2023-12-02,2,2
U0597,2023-09-28,4,4
U0598,2024-01-29,7,5
U0599,2023-09-21,7,7
U0600,2023-11-19,12,6
U0601,2023-10-27,6,2
U0602,2023-09-20,9,2
U0603,2024-01-14,9,4
U0604,2023-11-29,6,6
U0605,2024-02-13,14,3
U0606,2023-10-31,2,1
U0607,2023-11-05,4,2
U0608,2024-02-02,3,3
U0609,2023-09-20,3,3
U0610,2024-01-05,8,8
U0611,2024-02-22,15,15
U0612,2024-01-23,11,11
U0613,2024-02-07,6,6
U0614,2023-11-20,3,2
U0615,2023-09-18,8,8
U0616,2024-02-09,5,3
U0617,2024-01-30,1,1
U0618,2024-01-08,2,2
U0619,2023-12-28,8,1
U0620,2023-09-15,6,3
U0621,2023-09-20,11,2
U0622,2024-02-05,10,9
U0623,2023-12-08,8,1
U0624,2023-12-25,15,13
U0625,2024-01-25,11,4
U0626,2023-11-22,10,8
U0627,2024-01-07,3,1
U0628,2023-12-25,2,2
U0629,2023-09-22,9,3
U0630,2023-09-11,4,4
U0631,2023-12-22,9,9
U0632,2024-02-04,3,2
U0633,2023-12-05,15,5
U0634,2023-12-09,7,7
U0635,2023-11-26,11,10
U0636,2023-09-14,13,11
U0637,2024-02-13,6,1
U0638,2023-11-24,2,2
U0639,2023-11-12,5,5
U0640,2023-10-09,6,1
U0641,2024-01-28,11,3
U0642,2023-11-29,5,4
U0643,2023-10-04,10,2
U0644,2023-11-19,9,7
U0645,2024-02-12,13,6
U0646,2023-10-03,11,11
U0647,2024-01-13,2,2
U0648,2024-01-09,6,1
U0649,2023-12-02,5,2
U0650,2023-10-25,6,4
U0651,2023-10-20,4,2
U0652,2023-10-10,2,2
U0653,2023-09-26,9,9
U0654,2024-01-13,1,1
U0655,2024-02-06,3,3
U0656,2023-12-06,3,1
U0657,2023-10-17,14,12
U0658,2024-02-07,13,3
U0659,2023-12-22,1,1
U0660,2023-12-03,11,4
U0661,2023-12-23,10,5
U0662,2023-12-24,4,2
U0663,2023-11-19,13,13
U0664,2023-12-30,15,14
U0665,2023-10-20,6,6
U0666,2024-01-25,8,8
U0667,2023-11-12,13,7
U0668,2024-01-07,9,7
U0669,2023-10-12,14,4
U0670,2024-02-02,3,2
U0671,2023-09-14,11,8
U0672,2023-12-05,9,2
U0673,2024-01-11,14,2
U0674,2023-11-12,2,1
U0675,2023-11-09,8,3
U0676,2023-12-21,2,1
U0677,2023-12-25,15,6
U0678,2023-09-07,7,1
U0679,2023-12-11,9,6
U0680,2023-10-31,7,1
U0681,2023-12-05,4,1
U0682,2023-11-21,15,2
U0683,2024-02-14,6,2
U0684,2023-10-06,1,1
U0685,2023-12-30,12,3
U0686,2024-02-28,8,8
U0687,2024-02-05,1,1
U0688,2023-09-05,5,2
U0689,2023-10-09,9,9
U0690,2023-12-18,2,2
U0691,2023-10-31,5,1
U0692,2023-09-13,4,4
U0693,2024-02-11,13,10
U0694,2023-12-27,2,1
U0695,2024-01-06,10,9
U0696,2023-09-05,11,9
U0697,2024-01-26,4,2
U0698,2023-11-14,7,1
U0699,2024-02-05,6,2
U0700,2024-01-25,7,2
U0701,2024-02-18,11,2
U0702,2024-01-13,6,1
U0703,2024-01-13,9,9
U0704,2024-01-08,9,1
U0705,2023-12-09,14,8
U0706,2023-09-12,11,7
U0707,2023-12-05,5,1
U0708,2023-12-01,13,2
U0709,2023-11-28,4,1
U0710,2024-01-27,12,6
U0711,2023-10-05,1,1
U0712,2024-01-18,6,6
U0713,2023-10-15,14,13
U0714,2024-02-23,8,8
U0715,2024-02-09,3,1
U0716,2023-09-17,12,8
U0717,2023-09-10,5,2
U0718,2023-09-12,13,4
U0719,2023-09-11,6,3
U0720,2024-01-10,7,7
U0721,2024-01-18,8,5
U0722,2023-09-10,13,11
U0723,2023-10-19,5,3
U0724,2023-09-13,14,11
U0725,2023-11-24,5,1
U0726,2023-12-04,7,4
U0727,2023-12-22,15,7
U0728,2023-11-26,3,2
U0729,2024-02-25,8,6
U0730,2024-01-11,5,1
U0731,2023-12-18,2,2
U0732,2024-02-02,14,3
U0733,2024-01-18,5,3
U0734,2023-09-27,2,2
U0735,2024-02-17,5,3
U0736,2023-12-24,10,7
U0737,2023-10-13,12,8
U0738,2023-11-29,8,1
U0739,2023-11-30,10,7
U0740,2023-11-10,11,1
U0741,2023-09-20,11,11
U0742,2023-12-13,6,5
U0743,2024-02-21,3,1
U0744,2023-10-07,14,10
U0745,2024-02-21,13,8
U0746,2023-09-09,3,1
U0747,2023-10-31,13,11
U0748,2023-12-03,6,4
U0749,2024-01-24,1,1
U0750,2024-02-21,8,6
U0751,2023-12-05,8,2
U0752,2024-01-25,3,3
U0753,2023-12-03,7,3
U0754,2024-02-14,5,2
U0755,2023-09-30,1,1
U0756,2024-01-06,9,7
U0757,2024-01-22,2,2
U0758,2023-11-06,12,8
U0759,2023-10-25,10,5
U0760,2024-02-25,15,8
U0761,2023-10-22,2,1
U0762,2023-09-19,8,3
U0763,2023-12-23,2,2
U0764,2024-02-18,6,6
U0765,2023-09-17,9,9
U0766,2023-11-14,15,5
U0767,2023-10-11,12,12
U0768,2024-02-27,11,3
U0769,2023-12-02,9,4
U0770,2023-10-02,4,2
U0771,2023-10-31,13,8
U0772,2023-09-07,6,5
U0773,2024-01-25,6,4
U0774,2024-01-20,3,3
U0775,2023-09-23,2,2
U0776,2023-12-11,12,12
U0777,2024-01-01,9,7
U0778,2023-12-14,14,10
U0779,2023-09-19,3,2
U0780,2024-02-12,2,2
U0781,2023-12-29,11,9
U0782,2023-11-28,3,3
U0783,2024-02-11,10,3
U0784,2023-10-04,7,5
U0785,2023-09-15,14,2
U0786,2024-01-11,3,2
U0787,2023-10-13,3,2
U0788,2023-10-28,6,5
U0789,2023-11-12,14,2
U0790,2023-11-04,4,3
U0791,2023-10-03,11,5
U0792,2024-02-05,9,2
U0793,2024-01-07,11,3
U0794,2024-01-30,10,3
U0795,2023-10-14,11,10
U0796,2024-02-02,6,5
U0797,2023-09-11,14,14
U0798,2023-09-08,2,1
U0799,2024-02-12,13,10
U0800,2023-11-07,11,4
U0801,2024-01-25,7,5
U0802,2024-02-11,1,1
U0803,2024-02-08,9,5
U0804,2024-02-12,5,4
U0805,2023-11-02,13,13
U0806,2024-02-23,7,3
U0807,2023-12-26,2,1
U0808,2023-10-11,8,7
U0809,2024-01-02,8,4
U0810,2023-11-27,10,3
U0811,2023-11-20,14,12
U0812,2023-11-21,12,6
U0813,2023-12-12,3,2
U0814,2024-01-10,9,2
U0815,2023-11-21,4,4
U0816,2023-10-02,5,4
U0817,2023-11-03,3,1
U0818,2023-09-13,5,4
U0819,2024-02-05,7,2
U0820,2023-10-11,14,6
U0821,2024-01-26,12,6
U0822,2023-10-19,13,3
U0823,2024-01-06,9,8
U0824,2024-01-06,15,5
U0825,2024-01-06,1,1
U0826,2023-12-10,9,8
U0827,2023-11-01,4,3
U0828,2023-09-13,1,1
U0829,2024-01-05,10,8
U0830,2023-11-13,9,1
U0831,2023-09-28,7,2
U0832,2023-11-07,12,6
U0833,2023-12-13,6,1
U0834,2023-12-12,1,1
U0835,2023-12-02,9,5
U0836,2023-09-19,7,5
U0837,2023-12-25,13,9
U0838,2023-11-11,14,10
U0839,2024-02-22,10,2
U0840,2023-10-03,2,2
U0841,2023-12-05,13,6
U0842,2024-01-21,6,2
U0843,2023-10-21,10,9
U0844,2023-12-12,9,1
U0845,2023-09-12,1,1
U0846,2023-11-25,13,8
U0847,2024-01-11,8,3
U0848,2024-02-03,15,9
U0849,2023-10-06,6,5
U0850,2023-11-21,3,2
U0851,2024-02-05,12,5
U0852,2024-01-30,6,5
U0853,2024-01-09,9,8
U0854,2024-01-23,5,4
U0855,2023-09-05,6,3
U0856,2024-02-20,2,2
U0857,2024-01-28,5,1
U0858,2024-01-31,8,5
U0859,2024-02-15,13,13
U0860,2024-01-27,10,4
U0861,2023-09-14,10,8
U0862,2023-10-14,9,7
U0863,2023-10-08,14,11
U0864,2023-11-02,1,1
U0865,2023-10-19,1,1
U0866,2023-11-20,7,2
U0867,2023-12-15,12,4
U0868,2023-12-15,9,8
U0869,2023-09-16,12,3
U0870,2024-01-11,4,3
U0871,2024-02-17,8,7
U0872,2023-11-20,3,2
U0873,2024-01-15,6,5
U0874,2023-11-30,11,11
U0875,2024-02-12,13,12
U0876,2023-11-07,10,8
U0877,2023-10-20,4,3
U0878,2024-01-21,5,2
U0879,2023-11-16,13,5
U0880,2024-02-28,4,4
U0881,2023-11-21,8,6
U0882,2024-01-22,15,15
U0883,2023-11-10,5,1
U0884,2024-01-25,11,9
U0885,2023-12-07,15,7
U0886,2023-11-28,13,13
U0887,2023-10-08,5,1
U0888,2023-11-13,12,2
U0889,2023-11-28,15,8
U0890,2024-02-15,5,4
U0891,2023-10-25,4,3
U0892,2024-01-22,12,5
U0893,2023-10-06,2,1
U0894,2023-11-02,1,1
U0895,2024-02-11,4,1
U0896,2023-09-26,7,3
U0897,2023-12-30,2,1
U0898,2023-09-02,9,3
U0899,2023-12-14,11,8
U0900,2024-01-01,11,4
U0901,2023-11-13,6,3
U0902,2024-02-13,1,1
U0903,2024-02-14,10,4
U0904,2024-01-15,12,12
U0905,2023-09-10,15,15
U0906,2023-10-15,7,7
U0907,2023-10-16,15,15
U0908,2023-09-10,14,7
U0909,2024-01-05,3,3
U0910,2023-11-14,15,1
U0911,2023-09-03,5,5
U0912,2024-02-02,2,2
U0913,2023-11-12,8,8
U0914,2023-10-05,14,9
U0915,2023-12-29,5,2
U0916,2023-09-29,6,2
U0917,2023-12-27,11,5
U0918,2023-10-18,1,1
U0919,2023-11-15,10,4
U0920,2023-10-15,10,7
U0921,2023-12-19,9,6
U0922,2023-09-23,7,6
U0923,2023-09-25,3,1
U0924,2024-01-01,6,2
U0925,2023-09-02,5,4
U0926,2023-10-31,8,5
U0927,2023-11-24,5,5
U0928,2024-01-25,1,1
U0929,2024-02-15,6,6
U0930,2023-10-31,1,1
U0931,2023-12-29,5,2
U0932,2023-12-13,11,9
U0933,2024-02-28,13,5
U0934,2024-02-24,2,2
U0935,2023-12-04,10,4
U0936,2023-10-27,3,2
U0937,2023-10-10,8,6
U0938,2023-12-16,12,9
U0939,2023-12-30,13,9
U0940,2024-02-18,14,4
U0941,2023-11-03,11,10
U0942,2023-09-21,9,8
U0943,2024-01-14,12,6
U0944,2023-09-20,15,10
U0945,2023-09-29,1,1
U0946,2024-01-25,9,3
U0947,2023-10-13,6,5
U0948,2023-12-23,2,1
U0949,2024-01-28,8,2
U0950,2024-01-09,8,1
U0951,2023-12-26,3,3
U0952,2023-12-16,8,1
U0953,2024-01-22,8,5
U0954,2023-09-06,7,3
U0955,2023-09-01,12,4
U0956,2024-01-27,2,1
U0957,2023-12-18,6,6
U0958,2023-09-17,9,1
U0959,2023-09-18,15,8
U0960,2023-09-09,5,4
U0961,2023-10-17,13,3
U0962,2024-02-12,12,11
U0963,2023-12-17,6,4
U0964,2023-12-24,14,7
U0965,2023-12-06,2,1
U0966,2024-02-15,14,6
U0967,2023-10-01,3,3
U0968,2023-12-10,9,3
U0969,2023-10-28,14,1
U0970,2023-09-06,5,4
U0971,2024-02-20,12,9
U0972,2023-12-18,9,7
U0973,2023-10-29,4,4
U0974,2023-11-28,3,2
U0975,2023-10-19,15,15
U0976,2023-09-29,1,1
U0977,2024-02-05,13,1
U0978,2023-11-01,4,1
U0979,2023-09-26,10,1
U0980,2023-12-24,10,1
U0981,2023-11-02,12,1
U0982,2023-12-12,8,4
U0983,2024-01-17,4,1
U0984,2023-10-06,9,5
U0985,2023-10-30,14,12
U0986,2024-01-26,6,5
U0987,2024-02-01,13,11
U0988,2023-11-22,4,3
U0989,2023-10-07,11,9
U0990,2023-10-27,7,3
U0991,2023-11-10,1,1
U0992,2024-02-08,11,7
U0993,2024-01-21,8,1
U0994,2023-11-28,11,11
U0995,2023-12-07,13,9
U0996,2023-11-21,12,7
U0997,2023-12-14,3,2
U0998,2023-12-06,3,3
U0999,2023-12-31,4,2
U1000,2023-11-16,14,12
